Tahun,"Total Produksi","Rata-Rata Produksi","Variabilitas Produksi"
1993,10511106.00,1313888.25,800144.53
1994,10434879.00,1304359.88,842178.37
1995,11277878.00,1409734.75,872863.77
1996,11681931.00,1460241.38,876715.02
1997,11069582.00,1383697.75,885936.10
1998,11736390.00,1467048.75,953072.41
1999,11816051.00,1477006.38,959300.56
2000,11901379.00,1487672.38,988522.83
2001,11571056.00,1446382.00,924797.97
2002,11531731.00,1441466.38,908231.96
2003,11823024.00,1477878.00,964440.22
2004,12445839.00,1555729.88,991728.15
2005,12655694.00,1581961.75,1006233.69
2006,12001280.00,1500160.00,1002026.09
2007,12841479.00,1605184.88,1095775.29
2008,13581940.00,1697742.50,1064152.64
2009,14652674.00,1831584.25,1132983.61
2010,15382976.00,1922872.00,1168739.82
2011,15670413.00,1958801.62,1210379.26
2012,15782225.00,1972778.12,1237582.30
2013,17093915.00,2136739.38,1300425.27
2014,16604009.00,2075501.12,1314255.17
2015,17956252.00,2244531.50,1520030.74
2016,19365875.90,2420734.49,1685784.47
2017,20586773.50,2573346.69,1724884.86
2018,11764423.68,1470552.96,992048.41
2019,10881099.49,1360137.44,891545.42
2020,11631123.08,1453890.38,957243.33
